id,name,url,price
75,Смартфон Samsung Galaxy A9 (2018) 6/128GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-a9-2018-6-128gb/201855059?show-uid=15490588298029098197316075&nid=54726&context=search,24690
76,Смартфон Samsung Galaxy Note8 64GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-note8-64gb/1731400948?show-uid=15490588298029098197316076&nid=54726&context=search,34490
77,Смартфон Apple iPhone 6S 32GB,https://market.yandex.ru/product--smartfon-apple-iphone-6s-32gb/14209841?show-uid=15490588298029098197316077&nid=54726&context=search,23690
78,Смартфон Xiaomi Redmi 5 3/32GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-5-3-32gb/1831858417?show-uid=15490588298029098197316078&nid=54726&context=search,8984
79,Смартфон Apple iPhone Xr 64GB,https://market.yandex.ru/product--smartfon-apple-iphone-xr-64gb/175941311?show-uid=15490588298029098197316079&nid=54726&context=search,52890
80,Смартфон Samsung Galaxy Note 9 128GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-note-9-128gb/144750053?show-uid=15490588298029098197316080&nid=54726&context=search,47490
81,Смартфон Samsung Galaxy S8,https://market.yandex.ru/product--smartfon-samsung-galaxy-s8/1722193751?show-uid=15490588298029098197316081&nid=54726&context=search,27490
82,Смартфон Xiaomi Mi Max 3 4/64GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-max-3-4-64gb/135799396?show-uid=15490588298029098197316082&nid=54726&context=search,15650
83,Смартфон Alcatel 3X 5058I,https://market.yandex.ru/product--smartfon-alcatel-3x-5058i/39918236?show-uid=15490588298029098197316083&nid=54726&context=search,6170
84,Смартфон Digma LINX ATOM 3G,https://market.yandex.ru/product--smartfon-digma-linx-atom-3g/159402770?show-uid=15490588298029098197316084&nid=54726&context=search,2060
85,Смартфон Samsung Galaxy J8 (2018) 32GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-j8-2018-32gb/114392836?show-uid=15490588298029098197316085&nid=54726&context=search,12490
86,Смартфон Alcatel 3V 5099D,https://market.yandex.ru/product--smartfon-alcatel-3v-5099d/1971398977?show-uid=15490588298029098197316086&nid=54726&context=search,7550
87,Смартфон OPPO A5 4/32GB,https://market.yandex.ru/product--smartfon-oppo-a5-4-32gb/187376199?show-uid=15490588298029098197316087&nid=54726&context=search,14990
88,Телефон Alcatel 2003D,https://market.yandex.ru/product--telefon-alcatel-2003d/175230246?show-uid=15490588298029098197316088&nid=54726&context=search,1088
89,Смартфон Meizu M8c,https://market.yandex.ru/product--smartfon-meizu-m8c/57514354?show-uid=15490588298029098197316089&nid=54726&context=search,6289
90,Смартфон Xiaomi Mi A2 Lite 3/32GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-a2-lite-3-32gb/133625407?show-uid=15490588298029098197316090&nid=54726&context=search,10250
91,Смартфон Apple iPhone Xr 128GB,https://market.yandex.ru/product--smartfon-apple-iphone-xr-128gb/175944418?show-uid=15490588298029098197316091&nid=54726&context=search,56890
92,Смартфон Honor 8C 4/32GB,https://market.yandex.ru/product--smartfon-honor-8c-4-32gb/251241041?show-uid=15490588298029098197316092&nid=54726&context=search,10689
93,Смартфон DOOGEE X60 L,https://market.yandex.ru/product--smartfon-doogee-x60-l/1970493408?show-uid=15490588298029098197316093&nid=54726&context=search,5850
94,Смартфон Яндекс.Телефон,https://market.yandex.ru/product--smartfon-yandex-telefon/177547282?show-uid=15490588298029098197316094&nid=54726&context=search,17990
95,Смартфон Sony Xperia XZ3 6/64GB,https://market.yandex.ru/product--smartfon-sony-xperia-xz3-6-64gb/278968066?show-uid=15490588298029098197316095&nid=54726&context=search,43690
96,Смартфон Sony Xperia L2,https://market.yandex.ru/product--smartfon-sony-xperia-l2/1915529948?show-uid=15490588298029098197316096&nid=54726&context=search,10290
97,Смартфон OnePlus 6 6/64GB,https://market.yandex.ru/product--smartfon-oneplus-6-6-64gb/42830630?show-uid=15490588326646087466616097&nid=54726&context=search,27000
98,Смартфон Alcatel 3 5052D,https://market.yandex.ru/product--smartfon-alcatel-3-5052d/35575933?show-uid=15490588326646087466616098&nid=54726&context=search,6290
99,Смартфон Xiaomi Mi A2 Lite 4/64GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-a2-lite-4-64gb/133629395?show-uid=15490588326646087466616099&nid=54726&context=search,11400
100,Смартфон Fly Slimline,https://market.yandex.ru/product--smartfon-fly-slimline/250197235?show-uid=15490588326646087466616100&nid=54726&context=search,4680
101,Смартфон ASUS Zenfone Live L1 ZA550KL 2/16GB,https://market.yandex.ru/product--smartfon-asus-zenfone-live-l1-za550kl-2-16gb/100389436?show-uid=15490588326646087466616101&nid=54726&context=search,7199
102,Смартфон Xiaomi Mi Max 2 64GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-max-2-64gb/1727124138?show-uid=15490588326646087466616102&nid=54726&context=search,10348
103,Смартфон Xiaomi Redmi 6 Pro 4/64GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-6-pro-4-64gb/131025094?show-uid=15490588326646087466616103&nid=54726&context=search,11980
104,Смартфон Honor View 20 8/256GB,https://market.yandex.ru/product--smartfon-honor-view-20-8-256gb/342846087?show-uid=15490588326646087466616104&nid=54726&context=search,43990
105,Смартфон Xiaomi Mi8 6/128GB,https://market.yandex.ru/product--smartfon-xiaomi-mi8-6-128gb/62467220?show-uid=15490588326646087466616105&nid=54726&context=search,24300
106,Смартфон Honor Play 4/64GB,https://market.yandex.ru/product--smartfon-honor-play-4-64gb/153254413?show-uid=15490588326646087466616106&nid=54726&context=search,17249
107,Смартфон HUAWEI P Smart 32GB,https://market.yandex.ru/product--smartfon-huawei-p-smart-32gb/1963951606?show-uid=15490588326646087466616107&nid=54726&context=search,10990
108,Смартфон NOA N2,https://market.yandex.ru/product--smartfon-noa-n2/273660113?show-uid=15490588326646087466616108&nid=54726&context=search,7990
109,Смартфон Blackview A20,https://market.yandex.ru/product--smartfon-blackview-a20/57514350?show-uid=15490588326646087466616109&nid=54726&context=search,3099
110,Смартфон Prestigio Wize Y3,https://market.yandex.ru/product--smartfon-prestigio-wize-y3/272668129?show-uid=15490588326646087466616110&nid=54726&context=search,2849
111,Смартфон Honor 10 Lite 3/64GB,https://market.yandex.ru/product--smartfon-honor-10-lite-3-64gb/348352339?show-uid=15490588326646087466616111&nid=54726&context=search,14990
112,Смартфон VERTEX Impress Blade,https://market.yandex.ru/product--smartfon-vertex-impress-blade/165768775?show-uid=15490588326646087466616112&nid=54726&context=search,5990
113,Смартфон ZTE Blade A530,https://market.yandex.ru/product--smartfon-zte-blade-a530/154533911?show-uid=15490588326646087466616113&nid=54726&context=search,5480
114,Смартфон Meizu 15 Lite 4/32GB,https://market.yandex.ru/product--smartfon-meizu-15-lite-4-32gb/63860260?show-uid=15490588326646087466616114&nid=54726&context=search,12040
115,Смартфон INOI 6,https://market.yandex.ru/product--smartfon-inoi-6/191224389?show-uid=15490588326646087466616115&nid=54726&context=search,6589
116,Смартфон ASUS Zenfone Max (M2) ZB633KL 4/64GB,https://market.yandex.ru/product--smartfon-asus-zenfone-max-m2-zb633kl-4-64gb/265358818?show-uid=15490588326646087466616116&nid=54726&context=search,13840
117,Смартфон Apple iPhone SE 128GB,https://market.yandex.ru/product--smartfon-apple-iphone-se-128gb/1721921264?show-uid=15490588326646087466616117&nid=54726&context=search,22990
118,Смартфон OnePlus 6T 8/128GB,https://market.yandex.ru/product--smartfon-oneplus-6t-8-128gb/216841061?show-uid=15490588326646087466616118&nid=54726&context=search,34850
119,Смартфон OPPO A3s,https://market.yandex.ru/product--smartfon-oppo-a3s/162662046?show-uid=15490588326646087466616119&nid=54726&context=search,10980
120,Смартфон Samsung Galaxy J1 (2016) SM-J120F/DS,https://market.yandex.ru/product--smartfon-samsung-galaxy-j1-2016-sm-j120f-ds/13340782?show-uid=15490588326646087466616120&nid=54726&context=search,5980
121,Смартфон Samsung Galaxy J2 Prime SM-G532F,https://market.yandex.ru/product--smartfon-samsung-galaxy-j2-prime-sm-g532f/1713275336?show-uid=15490588326646087466616121&nid=54726&context=search,6490
122,Смартфон Xiaomi Redmi 6 3/64GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-6-3-64gb/212361116?show-uid=15490588326646087466616122&nid=54726&context=search,8790
123,Смартфон Apple iPhone Xs Max 64GB,https://market.yandex.ru/product--smartfon-apple-iphone-xs-max-64gb/175939244?show-uid=15490588326646087466616123&nid=54726&context=search,75000
124,Смартфон Meizu M6 32GB,https://market.yandex.ru/product--smartfon-meizu-m6-32gb/1732595880?show-uid=15490588326646087466616124&nid=54726&context=search,7850
125,Смартфон Sony Xperia XA2 Dual,https://market.yandex.ru/product--smartfon-sony-xperia-xa2-dual/1915529682?show-uid=15490588326646087466616125&nid=54726&context=search,16340
126,Смартфон Xiaomi Mi8 6/64GB,https://market.yandex.ru/product--smartfon-xiaomi-mi8-6-64gb/62468217?show-uid=15490588326646087466616126&nid=54726&context=search,22950
